
| PDF Filename                                     | Records  | Status          |
| मासिक_गुन्हे_अहवाल_जुलै_२०२१.pdf                 | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_जून_२०२०.pdf                  | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_जून_२०२१.pdf                  | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_डिसेंबर_२०२०.pdf              | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_नोव्हेंबर_२०२०.pdf            | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_मे_२०२१.pdf                   | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_संप्टेंबर_२०२०.pdf            | 20       | ⚠️ MEDIUM       |
| मासिक_गुन्हे_अहवाल_सप्टेंबर_२०२१.pdf             | 20       | ⚠️ MEDIUM       |
| मे__२०१८_चा_मासिक_गुन्हे_अहवाल.pdf               | 20       | ⚠️ MEDIUM       |
| मे_२०१९_चा_मासिक_गुन्हे_अहवाल.pdf                | 20       | ⚠️ MEDIUM       |
| मे_२०२०_चा_मासिक_गुन्हे_अहवाल.pdf                | 20       | ⚠️ MEDIUM       |
| सप्टेंबर__२०१९_चा__मासिक_गुन्हे_अहवाल.pdf        | 20       | ⚠️ MEDIUM       |
| सप्टेंबर_२०१८_चा_मासिक_गुन्हे_अहवाल.pdf          | 20       | ⚠️ MEDIUM       |
--------------------------------------------------------------------------------
Total PDFs: 97
Total Records: 2939
Avg Density: 30.30 records/pdf
